# ,Skx,Sky,RMSx,RMSy,Kx,Ky,CFx,CFy,P2Px,P2Py,filename
22311.0,-0.6434062310680572,-0.317863110284523,7.117024745694032,2.5009947639341212,-0.6707707328259147,-0.8337763864585384,2.2442201018991175,2.2130394192803644,31.99219,11.72656,_20_07_06_10_38_18_1400.txt
22312.0,-0.5994780997267936,-0.3513558693403326,7.240342090555929,2.506717720193157,-0.5976873886477261,-0.8653073995117198,2.2059965952207685,2.0872194574811713,31.99219,11.60156,_20_07_06_10_39_11_1400.txt
22313.0,-0.6238714996614647,-0.18543750057329023,6.953394274283841,2.5358540196261257,-0.6787302373551185,-0.8948259331173745,2.297032121286555,2.245006990126092,31.99805,12.1543,_20_07_06_10_40_03_1400.txt
22314.0,-0.6939942672547943,-0.24895631061303825,6.9486974233682055,2.4996606765506115,-0.6458242687329161,-0.9321111038314283,2.2985847601143488,2.0313837184521506,31.986330000000002,11.1289,_20_07_06_10_41_23_1400.txt
22315.0,-0.6818587371836875,-0.3701868328377372,7.087418840333673,2.524324899967102,-0.6168106826792901,-0.8853152840490872,2.2535947655730806,2.1268221060093997,31.982419999999998,11.53906,_20_07_06_10_42_15_1400.txt
22316.0,-0.62562567080249,-0.2574810034885032,7.115508016937644,2.5402312367443107,-0.6099824197631705,-0.8737923820035922,2.244698475777147,2.2188413080156666,31.99414,11.86719,_20_07_06_10_43_08_1400.txt
22317.0,-0.62565244574411,-0.28328974211585495,7.19672110453196,2.520446157188574,-0.6259091310210168,-0.9174764958625197,2.219367649239862,2.2540810815562837,31.9961,11.65039,_20_07_06_10_44_01_1400.txt
22318.0,-0.6307094245715285,-0.2580358771570398,7.061652402572697,2.563837238565707,-0.6962994333657986,-0.898065969490029,2.261817644009358,2.0536678073002643,31.99805,11.39648,_20_07_06_10_45_20_1400.txt
22319.0,-0.5888975622465669,-0.4373813083974485,7.6413968329701065,2.5553844327900723,-0.5195370491635236,-0.8671897511211193,2.09021601012597,2.0650474082439203,31.99024,11.580079999999999,_20_07_06_10_46_13_1400.txt
22320.0,-0.5924058383993895,-0.3733442400738518,7.528643806000376,2.5610767789914166,-0.5423270715878186,-0.8767765099356599,2.12152021155126,2.1496856498648733,31.9961,11.72656,_20_07_06_10_47_06_1400.txt
22321.0,-0.6402303278506659,-0.26223358641053657,7.253863469939738,2.592509042384034,-0.6223043947934643,-0.8937683525000355,2.2018845634728623,2.1771110178307014,31.99414,11.63477,_20_07_06_10_48_24_1400.txt
